city,male,female
Entre-Ijuís (RS),4414,4522
Lagoa Salgada (RN),3800,3764
General Câmara (RS),4233,4213
Barra de Santana (PB),4147,4059
Rodeiro (MG),3458,3408
Desterro (PB),3893,4098
Nova Itarana (BA),3771,3662
Malhada de Pedras (BA),4321,4144
Terezópolis de Goiás (GO),3346,3215
Marcelino Vieira (RN),4064,4200
Campo Erê (SC),4685,4683
Nova Santa Rosa (PR),3791,3835
Riachuelo (RN),3559,3502
Pains (MG),4026,3988
Glorinha (RS),3536,3355
Itapé (BA),5607,5381
Carnaúba dos Dantas (RN),3716,3711
Guiricema (MG),4427,4280
Ivaté (PR),3808,3702
Gado Bravo (PB),4133,4241
Pocrane (MG),4514,4469
Alto Jequitibá (MG),4249,4066
Buriti dos Montes (PI),4143,3829
Tuparetama (PE),3851,4072
Mirante (BA),5390,5112
Monte Castelo (SC),4283,4063
Águas da Prata (SP),3745,3837
Guaraçaí (SP),4194,4239
Jesuítas (PR),4469,4532
Altamira do Maranhão (MA),5567,5496
São Luiz (RR),3568,3182
Iepê (SP),3778,3849
Santa Bárbara do Leste (MG),3922,3760
Major Vieira (SC),3799,3680
Lindoia (SP),3326,3386
Bilac (SP),3491,3557
Colinas do Tocantins (TO),15287,15549
São Rafael (RN),4127,3979
Colméia (TO),4368,4243
Ipiranga do Norte (MT),2795,2327
Monte Alegre do Sul (SP),3581,3570
Jaborandi (BA),4659,4313
Macaubal (SP),3880,3783
Guimarânia (MG),3712,3551
Barão de Melgaço (MT),4133,3456
Tiradentes (MG),3440,3520
Ferreira Gomes (AP),3046,2754
Jati (CE),3830,3830
Orizânia (MG),3695,3587
Treze Tílias (SC),3150,3189
Descanso (SC),4356,4278
Riachinho (MG),4182,3824
Minas do Leão (RS),3778,3853
Elísio Medrado (BA),3956,3988
Reserva do Iguaçu (PR),3747,3558
Novo Horizonte do Oeste (RO),5336,4904
Cristal (RS),3686,3593
Nova Fátima (PR),4034,4112
Campo do Tenente (PR),3675,3449
Maravilhas (MG),3631,3531
Candeal (BA),4494,4392
Serra Negra do Norte (RN),3901,3868
Tupãssi (PR),4051,3945
Irapuã (SP),3803,3471
Cabeceiras (GO),3776,3575
Dom Aquino (MT),4222,3945
Campo Limpo de Goiás (GO),3185,3055
São João do Arraial (PI),3695,3641
Peixe-Boi (PA),4037,3810
Combinado (TO),2374,2295
Lamarão (BA),4761,4795
São Miguel dos Milagres (AL),3562,3599
Nova Glória (GO),4245,4262
Estrela do Sul (MG),3899,3544
São José do Cerrito (SC),4800,4472
Santana da Boa Vista (RS),4169,4071
Montes Claros de Goiás (GO),4094,3893
Passa Tempo (MG),4133,4064
Ascurra (SC),3680,3732
Ponto Belo (ES),3489,3484
Juarez Távora (PB),3640,3818
Delfim Moreira (MG),4188,3783
Timbó Grande (SC),3612,3554
Cachoeira Dourada (GO),4173,4081
Japonvar (MG),4210,4084
Salvador do Sul (RS),3412,3333
Itamari (BA),4035,3864
Cruzeta (RN),3906,4061
Cambira (PR),3678,3557
Pedra Lavrada (PB),3734,3741
Santa Rita do Pardo (MS),3804,3452
Portalegre (RN),3585,3733
Tanquinho (BA),3975,4027
Ibirarema (SP),3394,3330
Gaúcha do Norte (MT),3443,2850
Alto Rio Novo (ES),3674,3642
Santana do São Francisco (SE),3537,3498
Catiguá (SP),3632,3495
Itaiçaba (CE),3637,3674
Senador Firmino (MG),3651,3575
Iguatama (MG),4034,3994
Durandé (MG),3770,3653
Campo Alegre de Goiás (GO),3108,2952
Assunção do Piauí (PI),3825,3678
Governador Luiz Rocha (MA),3749,3586
Santa Filomena do Maranhão (MA),3669,3390
São Vicente de Minas (MG),3394,3613
Iramaia (BA),6165,5818
Curral de Dentro (MG),3500,3413
Cubati (PB),3392,3473
Itobi (SP),3908,3638
Ribamar Fiquene (MA),3770,3547
Arneiroz (CE),3850,3800
Sobrado (PB),3679,3692
Conceição do Tocantins (TO),2132,2049
Nova Fátima (BA),3792,3809
Ipeúna (SP),3110,2906
Santa Bárbara do Sul (RS),4341,4487
Bodoquena (MS),4113,3871
Araguapaz (GO),3851,3658
Paraí (RS),3451,3361
Monsenhor Hipólito (PI),3715,3675
Jenipapo de Minas (MG),3662,3451
Baldim (MG),3940,3971
Itamarati (AM),4236,3801
Ibirajuba (PE),3790,3742
General Sampaio (CE),3164,3052
Restinga (SP),3296,3291
Guatapará (SP),3579,3387
Senador Sá (CE),3431,3419
Marajá do Sena (MA),4390,3661
Lagoa de Dentro (PB),3624,3744
Macururé (BA),3998,4067
Jericó (PB),3693,3844
Alto Paraíso de Goiás (GO),3408,3477
Umari (CE),3772,3772
Sud Mennucci (SP),3742,3693
Cônego Marinho (MG),3604,3497
Tuparendi (RS),4146,4411
Tapiraí (SP),4043,3969
São Pedro do Turvo (SP),3670,3527
Belo Vale (MG),3776,3760
Altaneira (CE),3317,3539
Santa Cruz de Monte Castelo (PR),4051,4041
Cajueiro da Praia (PI),3741,3420
Tomazina (PR),4529,4259
Jacuí (MG),3873,3629
Couto Magalhães (TO),2638,2371
São Miguel das Missões (RS),3880,3539
Boqueirão do Leão (RS),3937,3736
Cristalândia (TO),3699,3535
Ribeirão Grande (SP),3795,3627
Tombos (MG),4782,4751
Pedro Osório (RS),3826,3985
São Mamede (PB),3834,3909
Crixás do Tocantins (TO),821,743
Alagoinha do Piauí (PI),3682,3656
Salete (SC),3772,3598
Icaraíma (PR),4458,4381
Serrania (MG),3803,3737
Colônia do Piauí (PI),3701,3732
Leopoldo de Bulhões (GO),4013,3869
Divinolândia de Minas (MG),3478,3545
Lajeado Novo (MA),3624,3299
Muribeca (SE),3683,3659
Assis Brasil (AC),3090,2981
Ipumirim (SC),3665,3555
Ipuaçu (SC),3471,3323
Paulo Lopes (SC),3404,3288
Itajá (RN),3543,3387
Limeira do Oeste (MG),3532,3358
São José dos Basílios (MA),3757,3739
Paraíso do Sul (RS),3694,3642
São Pedro dos Ferros (MG),4127,4229
Coimbra (MG),3547,3507
Sanclerlândia (GO),3842,3707
Figueira (PR),4103,4190
Lagoa de Pedras (RN),3565,3422
São José da Lagoa Tapada (PB),3680,3883
Porto de Pedras (AL),4270,4159
Tarabai (SP),3293,3313
Barra do Turvo (SP),4050,3679
Inimutaba (MG),3328,3394
Florestal (MG),3244,3354
Moema (MG),3553,3475
Lagamar (MG),3917,3683
Belágua (MA),3422,3100
Granito (PE),3451,3402
Palestina do Pará (PA),3877,3595
Pedro Gomes (MS),4149,3818
Inocência (MS),3963,3705
São João do Jaguaribe (CE),3850,4047
Paulo Jacinto (AL),3627,3793
Guaraqueçaba (PR),4176,3694
Rio do Oeste (SC),3599,3491
Barão do Triunfo (RS),3740,3277
Felisburgo (MG),3505,3370
Apiacá (ES),3777,3733
São João Batista do Glória (MG),3558,3329
Pintópolis (MG),3777,3432
Paulicéia (SP),3290,3048
Santana de Pirapama (MG),4129,3879
Coronel Domingos Soares (PR),3791,3446
Abel Figueiredo (PA),3533,3246
São José da Barra (MG),3508,3269
Barbosa (SP),3323,3270
Casserengue (PB),3549,3509
Vertente do Lério (PE),3866,4005
Boa Vista da Aparecida (PR),3992,3917
Nuporanga (SP),3410,3404
Palmeirina (PE),3985,4201
Trombudo Central (SC),3268,3285
Quatiguá (PR),3452,3591
Laguna Carapã (MS),3293,3196
Dionísio (MG),4299,4438
Nova Porteirinha (MG),3787,3609
Brejinho (PE),3608,3698
Claro dos Poções (MG),3962,3811
Darcinópolis (TO),2775,2498
Segredo (RS),3698,3460
Muniz Ferreira (BA),3680,3633
Maracajá (SC),3248,3156
São Miguel de Taipu (PB),3338,3352
São Domingos do Azeitão (MA),3566,3417
Alpercata (MG),3587,3581
Pedrão (BA),3393,3479
Antônio Olinto (PR),3856,3494
Paulo Frontin (PR),3633,3280
Joviânia (GO),3608,3510
Lavras do Sul (RS),3775,3902
Ribeiro Gonçalves (PI),3510,3334
Jequitaí (MG),4031,3972
Antonina do Norte (CE),3344,3639
Ametista do Sul (RS),3731,3590
São João do Oriente (MG),3907,3967
Guarani das Missões (RS),3951,4163
Inconfidentes (MG),3521,3386
Lavrinhas (SP),3320,3270
Abatiá (PR),3916,3848
Brejo Grande do Araguaia (PA),3832,3485
Belém do Brejo do Cruz (PB),3607,3536
Santa Luzia do Norte (AL),3370,3519
Campo Largo do Piauí (PI),3466,3336
Jaraguari (MS),3406,2934
Sericita (MG),3647,3480
Itarumã (GO),3318,2982
São João do Sul (SC),3530,3472
Indaiabira (MG),3733,3591
Santa Rita de Minas (MG),3295,3249
Jaci (SP),2891,2765
Palma Sola (SC),3957,3808
Orindiúva (SP),2898,2775
Santo Antônio do Retiro (MG),3526,3428
Manoel Viana (RS),3556,3515
Chã Preta (AL),3643,3500
Nazaré do Piauí (PI),3666,3653
Praia Grande (SC),3658,3609
Laje do Muriaé (RJ),3751,3735
Teodoro Sampaio (BA),3856,4034
Irajuba (BA),3505,3495
Cosmorama (SP),3651,3561
Bandeirantes (MS),3458,3150
Livramento (PB),3523,3639
Apuarema (BA),3794,3665
Nazarezinho (PB),3631,3647
Dianópolis (TO),9678,9433
Ibiraiaras (RS),3588,3582
Desterro de Entre Rios (MG),3571,3430
Ereré (CE),3427,3410
Ouro (SC),3671,3701
Reduto (MG),3379,3189
Campos de Júlio (MT),2665,2489
Juranda (PR),3815,3826
Engenheiro Navarro (MG),3616,3504
São José de Ubá (RJ),3497,3504
Junco do Seridó (PB),3307,3334
Varjão de Minas (MG),3170,2884
Terezinha (PE),3271,3465
Cacimbas (PB),3284,3530
Divinópolis do Tocantins (TO),3279,3083
Boa Vista (PB),3085,3141
Luiziana (PR),3736,3578
Coronel Bicaco (RS),3801,3943
Caiçara (PB),3617,3600
Doverlândia (GO),4162,3730
Dois Irmãos do Tocantins (TO),3958,3203
Monteirópolis (AL),3358,3577
Antônio Martins (RN),3493,3413
Nova Aliança (SP),2922,2969
Água Doce (SC),3554,3406
Pedra Bonita (MG),3455,3217
Laurentino (SC),3001,3002
São Tomé das Letras (MG),3539,3116
Delfinópolis (MG),3550,3280
Amaral Ferrador (RS),3281,3071
Governador Jorge Teixeira (RO),5470,5042
Presidente Médici (MA),3294,3080
Acauã (PI),3459,3290
Machacalis (MG),3607,3365
Naque (MG),3194,3143
Treze de Maio (SC),3450,3425
Bom Sucesso (PR),3227,3333
São Roque de Minas (MG),3482,3200
Verê (PR),3938,3939
Marilena (PR),3532,3325
Alto Boa Vista (MT),2732,2515
Jussara (PR),3260,3350
Doutor Severiano (RN),3193,3299
Iraí de Minas (MG),3381,3086
Central de Minas (MG),3300,3470
Tuiuti (SP),3022,2908
Palmitinho (RS),3494,3426
Areial (PB),3057,3410
Corumbiara (RO),4709,4069
Alfredo Vasconcelos (MG),3110,2965
Dueré (TO),2440,2152
Amapá do Maranhão (MA),3311,3119
Santana da Vargem (MG),3625,3606
Dirceu Arcoverde (PI),3402,3272
Iraí (RS),4075,4002
Sapucaí-Mirim (MG),3204,3035
Itanhangá (MT),2881,2395
Guidoval (MG),3637,3565
Cabeceira Grande (MG),3395,3058
Santo Antônio da Alegria (SP),3260,3043
Barro Duro (PI),3229,3376
Abadia dos Dourados (MG),3400,3304
Luís Domingues (MA),3399,3111
Salto da Divisa (MG),3503,3350
Indianópolis (MG),3231,2958
Macambira (SE),3162,3237
Serra Redonda (PB),3358,3689
Conquista (MG),3316,3210
Goioxim (PR),3924,3578
Jacuípe (AL),3585,3409
Araporã (MG),3111,3033
Meleiro (SC),3458,3542
Esperantina (TO),4908,4565
São Tomás de Aquino (MG),3558,3535
São Brás (AL),3334,3382
Imbé de Minas (MG),3293,3130
Campestre (AL),3288,3310
Pontal do Araguaia (MT),2776,2619
Jaborandi (SP),3338,3254
São Carlos do Ivaí (PR),3254,3100
Sabáudia (PR),3051,3045
Jacareacanga (PA),8037,6066
Ajuricaba (RS),3585,3670
Faro (PA),4240,3936
São Miguel do Anta (MG),3435,3322
São Sebastião do Oeste (MG),3029,2775
Divisa Alegre (MG),2905,2979
Santana dos Garrotes (PB),3512,3754
Dom Expedito Lopes (PI),3221,3348
Floresta (PR),2953,2977
Anhembi (SP),2909,2742
São José do Ouro (RS),3380,3522
Jandaíra (RN),3514,3285
Fátima (TO),1908,1896
Ouvidor (GO),2811,2656
Simolândia (GO),3303,3211
Hulha Negra (RS),3124,2919
Santa Rosa do Purus (AC),2406,2285
Campo Belo do Sul (SC),3850,3633
Padre Marcos (PI),3229,3428
Vitorino (PR),3230,3283
Confins (MG),2923,3012
Juti (MS),3009,2890
Nova Lacerda (MT),2916,2520
Capetinga (MG),3741,3347
São Roberto (MA),3091,2866
Laranjal (MG),3253,3211
Gongogi (BA),4235,4119
Bonfim (MG),3423,3395
Lagoa d'Anta (RN),3131,3092
Boa Hora (PI),3204,3091
Santo Antônio do Pinhal (SP),3269,3217
Chuí (RS),2921,2995
Figueirópolis (TO),2705,2635
Bom Jesus do Araguaia (MT),2856,2457
Jambeiro (SP),2769,2579
Careaçu (MG),3223,3075
Morro do Chapéu do Piauí (PI),3322,3176
Nova União (RO),3999,3494
Crisólita (MG),3080,2967
Cipotânea (MG),3346,3200
Herval (RS),3482,3267
Sussuapara (PI),3098,3130
Tumiritinga (MG),3195,3092
Santarém Novo (PA),3210,2930
Quixaba (PE),3325,3414
Alto Horizonte (GO),2351,2154
Lagoa de São Francisco (PI),3208,3214
Dores do Rio Preto (ES),3226,3170
Itagimirim (BA),3556,3552
Anita Garibaldi (SC),4340,4282
Angical do Piauí (PI),3235,3435
Renascença (PR),3427,3385
Condor (RS),3219,3333
Galiléia (MG),3405,3545
Santa Clara do Sul (RS),2845,2852
Roque Gonzales (RS),3622,3581
Cuitegi (PB),3389,3500
Maquiné (RS),3523,3382
Periquito (MG),3451,3582
Quintana (SP),2969,3033
Ipê (RS),3083,2933
Luislândia (MG),3293,3105
Belo Monte (AL),3550,3480
Capim (PB),2815,2786
Boa Vista do Buricá (RS),3295,3279
Sapopema (PR),3507,3229
Santa Bárbara de Goiás (GO),2932,2819
São Sebastião do Anta (MG),2923,2816
Erval Seco (RS),3919,3957
São José do Piauí (PI),3281,3309
Maturéia (PB),2899,3038
Marizópolis (PB),3014,3157
Guarantã (SP),3218,3186
Pinhão (SE),2925,3046
Ijaci (MG),2964,2895
Dona Euzébia (MG),3038,2963
Condado (PB),3215,3368
Mariópolis (PR),3116,3152
Faxinal do Soturno (RS),3274,3397
Águas Mornas (SC),2810,2738
Guairaçá (PR),3106,3091
Roteiro (AL),3369,3287
Afonso Cunha (MA),2972,2933
Comercinho (MG),4223,4073
Natividade da Serra (SP),3485,3191
Potiraguá (BA),5066,4743
Heliodora (MG),3117,3003
Grão-Pará (SC),3235,2988
Barão de Cotegipe (RS),3296,3232
Passo do Sobrado (RS),2996,3015
Morro Redondo (RS),3135,3092
Palma (MG),3313,3231
Porto do Mangue (RN),2730,2487
Milton Brandão (PI),3441,3328
Santo Antônio de Goiás (GO),2389,2314
Pedro Avelino (RN),3690,3477
Filadélfia (TO),4468,4035
Itirapuã (SP),3013,2901
Sertão Santana (RS),2933,2915
Santa Cruz (PB),3282,3186
Pardinho (SP),2844,2738
Caiçara do Norte (RN),3119,2897
Morro Reuter (RS),2849,2827
Oriente (SP),2985,3111
Formigueiro (RS),3570,3443
Pacujá (CE),2901,3083
Mamonas (MG),3183,3137
Guarda-Mor (MG),3427,3138
Selvíria (MS),3215,3071
Novo Oriente do Piauí (PI),3233,3264
Colônia do Gurguéia (PI),2963,3073
Augusto Pestana (RS),3487,3608
Águas de Chapecó (SC),3124,2984
Paraíso (SP),3012,2885
Faina (GO),3652,3330
Santa Cecília (PB),3408,3248
Nova Palma (RS),3217,3125
Pilões (PB),3517,3460
Nova Ibiá (BA),3492,3156
Itambaracá (PR),3390,3368
Itaju do Colônia (BA),3697,3608
São Francisco de Paula (MG),3280,3199
Nossa Senhora de Lourdes (SE),3150,3087
Diamante (PB),3331,3284
Formoso do Araguaia (TO),9607,8817
Lassance (MG),3327,3157
Pirajuba (MG),2544,2111
Vale do Paraíso (RO),4244,3964
Ubarana (SP),2715,2574
Sales (SP),2789,2662
Brejo dos Santos (PB),3092,3103
São Vicente (RN),2944,3083
Lagoão (RS),3195,2988
Santo Antônio de Lisboa (PI),2976,3031
Padre Carvalho (MG),2973,2861
Vargem Alegre (MG),3295,3166
Massapê do Piauí (PI),3152,3068
Potiretama (CE),3159,2967
Vila Boa (GO),2588,2147
Mendes Pimentel (MG),3152,3178
Bom Jardim de Minas (MG),3248,3252
Boqueirão do Piauí (PI),3079,3113
Rio Grande do Piauí (PI),3113,3160
Itanagra (BA),3883,3712
Córrego Fundo (MG),2983,2807
São João do Oeste (SC),3098,2938
Sardoá (MG),2814,2779
Patos do Piauí (PI),3093,3010
Gália (SP),3506,3505
São Francisco do Piauí (PI),3190,3108
São José do Jacuri (MG),3329,3219
Santa Helena de Minas (MG),3055,2996
Amaporã (PR),2756,2684
Olho d'Água (PB),3352,3579
São José de Caiana (PB),3051,2957
Ibema (PR),3036,3030
Piracema (MG),3233,3172
Bela Vista do Toldo (SC),3104,2900
Cambará do Sul (RS),3350,3191
Santa Maria do Herval (RS),3101,2952
São Julião (PI),2828,2846
Silveiras (SP),2936,2855
Arandu (SP),3088,3035
Guajeru (BA),5241,5165
Taciba (SP),2861,2853
Tiros (MG),3537,3368
Cuité de Mamanguape (PB),3100,3102
Inhaúma (MG),2909,2849
Taiaçu (SP),2972,2922
Formosa do Oeste (PR),3784,3757
Boa Ventura de São Roque (PR),3346,3205
Toledo (MG),3043,2720
Pinhalão (PR),3165,3050
Vidal Ramos (SC),3258,3032
Parecis (RO),2595,2215
Baixio (CE),3053,2971
São Francisco de Sales (MG),2972,2804
Cacaulândia (RO),2965,2771
Santa Maria da Serra (SP),2746,2667
São João da Ponta (PA),2738,2526
Borrazópolis (PR),3933,3945
Imbuia (SC),2890,2817
Inaciolândia (GO),2916,2781
Iacri (SP),3249,3169
São Francisco de Goiás (GO),3146,2972
Graça Aranha (MA),3031,3109
Botumirim (MG),3395,3102
Silvianópolis (MG),3128,2898
Santa Filomena (PI),3217,2879
Santa Cruz do Piauí (PI),2973,3053
Fortaleza do Tabocão (TO),1234,1185
Luisburgo (MG),3223,3009
Caracol (MS),2764,2633
Lambari d'Oeste (MT),2852,2579
Olhos-d'Água (MG),2778,2489
Santa Cruz da Vitória (BA),3421,3249
Progresso (RS),3183,2979
Goianorte (TO),2649,2306
Caatiba (BA),5991,5425
Ichu (BA),2588,2665
Pérola d'Oeste (PR),3401,3359
Barão (RS),2911,2828
Alambari (SP),2456,2428
Soledade de Minas (MG),2838,2836
Colômbia (SP),3066,2928
São João do Sabugi (RN),2922,2999
Americano do Brasil (GO),2858,2650
Cutias (AP),2424,2272
Betânia do Piauí (PI),3112,2901
Catuji (MG),3363,3344
Rio das Antas (SC),3153,2989
Coroados (SP),2609,2628
Perobal (PR),2825,2826
Lindolfo Collor (RS),2679,2548
Gonzaga (MG),2927,2994
Bom Jesus do Amparo (MG),2709,2782
Cocal dos Alves (PI),2797,2774
Senador Elói de Souza (RN),2860,2777
Poloni (SP),2671,2724
Corguinho (MS),2627,2233
Aratiba (RS),3339,3225
Águas de Santa Bárbara (SP),2779,2822
Pedro Régis (PB),2890,2874
Bossoroca (RS),3509,3374
Serrinha (RN),3452,3129
Balbinos (SP),3002,700
Pedra Bela (SP),3030,2750
Tanque d'Arca (AL),3020,3101
São José da Boa Vista (PR),3363,3148
Vicentina (MS),2958,2942
Caibi (SC),3142,3077
Itambé (PR),2946,3032
São João da Serra (PI),3012,3145
Cândido Godói (RS),3318,3217
Vereda (BA),3564,3235
Bernardo do Mearim (MA),2973,3023
Pai Pedro (MG),3022,2908
Barra de São Miguel (PB),2918,2693
Piacatu (SP),2662,2625
Igaracy (PB),3019,3137
Itá (SC),3218,3208
Sapucaia (PA),2710,2337
Campina do Monte Alegre (SP),2853,2714
Tenente Laurentino Cruz (RN),2746,2660
São João da Fronteira (PI),2804,2803
Caldas Brandão (PB),2801,2835
Gouvelândia (GO),2569,2380
Itueta (MG),2962,2866
Equador (RN),2960,2862
Novais (SP),2479,2113
Independência (RS),3293,3325
Camalaú (PB),2839,2909
São Pedro de Alcântara (SC),2988,1716
Vale Real (RS),2569,2548
Divisa Nova (MG),2981,2780
Marabá Paulista (SP),3048,1764
São José dos Ramos (PB),2757,2746
Serraria (PB),3092,3145
Santa Albertina (SP),2905,2818
Ouro Verde do Oeste (PR),2867,2825
Solidão (PE),2902,2842
Patis (MG),2917,2659
Echaporã (SP),3115,3203
Douradina (MS),2721,2642
Caiuá (SP),2652,2387
Felipe Guerra (RN),2868,2864
Cerrito (RS),3213,3189
Jandaia (GO),3175,2989
Américo de Campos (SP),2862,2843
Cristália (MG),2911,2849
Campo Grande do Piauí (PI),2839,2753
Doutor Camargo (PR),2868,2960
Itumirim (MG),3059,3080
São João do Manteninha (MG),2555,2632
Taquarivaí (SP),2578,2573
Munhoz (MG),3245,3008
Aiuruoca (MG),3206,2956
Santa Luzia d'Oeste (RO),4596,4290
Francisco Alves (PR),3224,3193
Paula Freitas (PR),2802,2632
José da Penha (RN),2822,3046
Anta Gorda (RS),3025,3048
Vila Propício (GO),2689,2456
Alto Caparaó (MG),2726,2570
Porto Rico do Maranhão (MA),3194,2834
Cedro de São João (SE),2780,2852
Santo Antônio do Jardim (SP),3045,2898
Rio Manso (MG),2773,2503
Estação (RS),2951,3060
Luiziânia (SP),2612,2418
Itaú (RN),2741,2822
Caraúbas do Piauí (PI),2836,2688
Enéas Marques (PR),3134,2969
Santa Luz (PI),2868,2644
Ouro Verde de Minas (MG),3018,2996
Nova Olinda (PB),3019,3050
São Pedro (RN),3172,3063
Alpestre (RS),4129,3897
Coqueiro Seco (AL),2756,2769
Ibiara (PB),3032,2995
Petrolândia (SC),3165,2965
Tufilândia (MA),2857,2739
Rodeio Bonito (RS),2846,2896
Rio do Campo (SC),3179,3013
Pouso Alto (MG),3135,3077
Frei Gaspar (MG),2967,2909
Nortelândia (MT),3306,3126
Goiatins (TO),6287,5776
Três Fronteiras (SP),2718,2707
Santa Helena (PB),2626,2741
Nova Olímpia (PR),2691,2811
Água Fria de Goiás (GO),2731,2359
Araricá (RS),2456,2408
Graccho Cardoso (SE),2886,2756
Aroazes (PI),2862,2915
São João do Caiuá (PR),2925,2986
Britânia (GO),2809,2699
Bandeira do Sul (MG),2742,2595
Montadas (PB),2482,2508
Guaimbê (SP),2697,2728
Fernando Prestes (SP),2726,2807
Guaraí (TO),11686,11512
São Francisco de Assis do Piauí (PI),2832,2735
Adrianópolis (PR),3296,3078
Braúna (SP),2552,2469
Barra do Chapéu (SP),2770,2473
Passa Sete (RS),2678,2476
Caldeirão Grande do Piauí (PI),2845,2825
Senhora de Oliveira (MG),2848,2833
Trindade do Sul (RS),2883,2903
Picada Café (RS),2594,2588
São Tomé (PR),2695,2653
Jussiape (BA),3905,4114
Pato Bragado (PR),2368,2454
Jaramataia (AL),2805,2753
Malta (PB),2703,2910
São Pedro do Iguaçu (PR),3292,3199
Calumbi (PE),2722,2926
Patrocínio do Muriaé (MG),2649,2637
Serra de São Bento (RN),2864,2875
Nova União (MG),2796,2757
Veredinha (MG),2891,2657
Itaubal (AP),2320,1944
General Carneiro (MT),2644,2382
Laranjal (PR),3236,3124
Jacobina do Piauí (PI),2903,2818
Cocalinho (MT),2896,2593
Cabaceiras (PB),2493,2539
Alecrim (RS),3511,3533
Jussari (BA),3279,3192
Juvenília (MG),2923,2785
Gurupi (TO),38104,38644
Bonfim do Piauí (PI),2693,2700
Encanto (RN),2565,2666
Bacurituba (MA),2745,2547
Chalé (MG),2863,2781
Sucupira do Riachão (MA),2372,2241
Ipueiras (TO),864,774
Santa Maria (RN),2419,2343
Aramina (SP),2589,2562
Aurora (SC),2824,2725
Sambaíba (MA),2893,2593
Luzerna (SC),2740,2860
São Domingos das Dores (MG),2748,2659
Bom Princípio do Piauí (PI),2746,2557
Itacajá (TO),3730,3372
Feira da Mata (BA),3197,2984
São Paulo das Missões (RS),3228,3136
Júlio Borges (PI),2800,2573
Goiandira (GO),2633,2631
Macuco (RJ),2528,2740
São Cristóvão do Sul (SC),2850,2161
São José do Xingu (MT),2824,2416
Benedito Leite (MA),2855,2614
Firmino Alves (BA),2732,2652
Mendonça (SP),2357,2283
Sabino (SP),2623,2594
Sentinela do Sul (RS),2666,2531
Campinas do Piauí (PI),2710,2697
Aguiar (PB),2706,2822
Feira Nova (SE),2628,2694
Mercedes (PR),2524,2522
Tucunduva (RS),2817,3080
Rubelita (MG),3997,3773
Sítio Novo (RN),2542,2477
São Sebastião da Bela Vista (MG),2579,2369
Maria Helena (PR),2993,2961
Cana Verde (MG),2861,2728
Santa Fé de Goiás (GO),2405,2357
Caiana (MG),2587,2381
Xambrê (PR),2998,3014
Saudade do Iguaçu (PR),2537,2491
Serra do Navio (AP),2332,2047
Santa Ernestina (SP),2852,2716
Itaara (RS),2543,2466
Agronômica (SC),2497,2407
São José da Vitória (BA),2902,2811
Taiúva (SP),2696,2750
Maripá (PR),2840,2844
Fernandes Pinheiro (PR),3039,2893
Capitão Andrade (MG),2418,2505
Conceição do Pará (MG),2654,2500
Ipiguá (SP),2267,2196
Guaraci (PR),2573,2651
Bento Fernandes (RN),2630,2483
Itaguatins (TO),3104,2924
Itapiratins (TO),1913,1619
São Jorge do Ivaí (PR),2724,2792
São Jorge do Patrocínio (PR),3068,2973
Tiradentes do Sul (RS),3268,3192
Várzea (RN),2621,2610
Alcantil (PB),2623,2614
Doutor Ulysses (PR),2978,2747
Chuvisca (RS),2603,2341
Gurinhatã (MG),3236,2898
Barra do Rocha (BA),3337,2976
Itaporã do Tocantins (TO),1285,1160
Bertolínia (PI),2678,2638
Piranguçu (MG),2702,2515
Coronel Ezequiel (RN),2747,2658
Rio Preto (MG),2671,2619
Juazeiro do Piauí (PI),2419,2338
Mesquita (MG),3029,3038
Alcinópolis (MS),2432,2137
Joca Marques (PI),2664,2435
Tavares (RS),2777,2573
Caxingó (PI),2656,2383
Geminiano (PI),2776,2699
Anchieta (SC),3231,3149
Sobrália (MG),2857,2972
Fazenda Nova (GO),3246,3071
Nova Colinas (MA),2600,2284
Alvorada do Gurguéia (PI),2648,2401
Mucurici (ES),2871,2784
Avaí (SP),2506,2453
Catas Altas (MG),2389,2457
Nova Esperança do Sul (RS),2306,2365
Caparaó (MG),2743,2464
Santo Antônio do Leste (MT),2025,1729
Jaú do Tocantins (TO),1815,1692
Jampruca (MG),2594,2472
Juarina (TO),1175,1055
Tapira (PR),2917,2918
Itacambira (MG),2678,2310
Gaurama (RS),2832,3030
Turvelândia (GO),2338,2061
Datas (MG),2550,2660
Luminárias (MG),2811,2611
Santa Rita do Itueto (MG),2929,2768
Santo Inácio (PR),2662,2605
Campinas do Sul (RS),2649,2855
Baliza (GO),2042,1671
São Bento Abade (MG),2385,2191
Machadinho (RS),2757,2753
Damião (PB),2460,2440
Bonfinópolis de Minas (MG),2974,2888
Botuverá (SC),2278,2190
Vieirópolis (PB),2538,2507
Presidente Castelo Branco (PR),2455,2329
Curral Novo do Piauí (PI),2531,2338
Entre Folhas (MG),2569,2604
Nipoã (SP),2261,2012
Grandes Rios (PR),3385,3240
Salmourão (SP),2477,2341
Pratânia (SP),2379,2219
Pracuúba (AP),1997,1795
Planalto (SP),2313,2150
Senador Amaral (MG),2776,2443
Canitar (SP),2216,2153
Riversul (SP),3047,3116
São José do Divino (PI),2652,2494
São José do Goiabal (MG),2732,2904
Manoel Emídio (PI),2700,2510
Cravolândia (BA),2556,2483
Novorizonte (MG),2489,2474
Guzolândia (SP),2436,2317
Francinópolis (PI),2558,2676
Porto dos Gaúchos (MT),2860,2589
Ibiracatu (MG),3218,2936
